"policy_id","customer_age","gender","region","premium_amount"
"POL_1","19","female","southwest","16884.924"
"POL_2","18","male","southeast","1725.5523"
"POL_3","28","male","southeast","4449.462"
"POL_4","33","male","northwest","21984.47061"
"POL_5","32","male","northwest","3866.8552"
"POL_6","31","female","southeast","3756.6216"
"POL_7","46","female","southeast","8240.5896"
"POL_8","37","female","northwest","7281.5056"
"POL_9","37","male","northeast","6406.4107"
"POL_10","60","female","northwest","28923.13692"
"POL_11","25","male","northeast","2721.3208"
"POL_12","62","female","southeast","27808.7251"
"POL_13","23","male","southwest","1826.843"
"POL_14","56","female","southeast","11090.7178"
"POL_15","27","male","southeast","39611.7577"
"POL_16","19","male","southwest","1837.237"
"POL_17","52","female","northeast","10797.3362"
"POL_18","23","male","northeast","2395.17155"
"POL_19","56","male","southwest","10602.385"
"POL_20","30","male","southwest","36837.467"
"POL_21","60","female","northeast","13228.84695"
"POL_22","30","female","southwest","4149.736"
"POL_23","18","male","southeast","1137.011"
"POL_24","34","female","northeast","37701.8768"
"POL_25","37","male","northwest","6203.90175"
"POL_26","59","female","southeast","14001.1338"
"POL_27","63","female","northeast","14451.83515"
"POL_28","55","female","northwest","12268.63225"
"POL_29","23","male","northwest","2775.19215"
"POL_30","31","male","southwest","38711.0"
"POL_31","22","male","southwest","35585.576"
"POL_32","18","female","northeast","2198.18985"
"POL_33","19","female","southwest","4687.797"
"POL_34","63","male","northwest","13770.0979"
"POL_35","28","male","southwest","51194.55914"
"POL_36","19","male","northwest","1625.43375"
"POL_37","62","female","northwest","15612.19335"
"POL_38","26","male","southwest","2302.3"
"POL_39","35","male","northeast","39774.2763"
"POL_40","60","male","southwest","48173.361"
"POL_41","24","female","northeast","3046.062"
"POL_42","31","female","southeast","4949.7587"
"POL_43","41","male","southeast","6272.4772"
"POL_44","37","female","southeast","6313.759"
"POL_45","38","male","northeast","6079.6715"
"POL_46","55","male","southwest","20630.28351"
"POL_47","18","female","northeast","3393.35635"
"POL_48","28","female","northwest","3556.9223"
"POL_49","60","female","southeast","12629.8967"
"POL_50","36","male","southeast","38709.176"
"POL_51","18","female","northeast","2211.13075"
"POL_52","21","female","northwest","3579.8287"
"POL_53","48","male","southwest","23568.272"
"POL_54","36","male","southeast","37742.5757"
"POL_55","40","female","northwest","8059.6791"
"POL_56","58","male","northwest","47496.49445"
"POL_57","58","female","northeast","13607.36875"
"POL_58","18","male","southeast","34303.1672"
"POL_59","53","female","southeast","23244.7902"
"POL_60","34","female","northwest","5989.52365"
"POL_61","43","male","northeast","8606.2174"
"POL_62","25","male","southeast","4504.6624"
"POL_63","64","male","northwest","30166.61817"
"POL_64","28","female","northwest","4133.64165"
"POL_65","20","female","northwest","14711.7438"
"POL_66","19","female","southwest","1743.214"
"POL_67","61","female","southwest","14235.072"
"POL_68","40","male","northwest","6389.37785"
"POL_69","40","female","southeast","5920.1041"
"POL_70","28","male","southeast","17663.1442"
"POL_71","27","female","southeast","16577.7795"
"POL_72","31","male","northeast","6799.458"
"POL_73","53","female","southwest","11741.726"
"POL_74","58","male","southeast","11946.6259"
"POL_75","44","male","southwest","7726.854"
"POL_76","57","male","northwest","11356.6609"
"POL_77","29","female","southeast","3947.4131"
"POL_78","21","male","southeast","1532.4697"
"POL_79","22","female","northeast","2755.02095"
"POL_80","41","female","northwest","6571.02435"
"POL_81","31","male","northeast","4441.21315"
"POL_82","45","female","northeast","7935.29115"
"POL_83","22","male","southeast","37165.1638"
"POL_84","48","female","northwest","11033.6617"
"POL_85","37","female","southwest","39836.519"
"POL_86","45","male","northwest","21098.55405"
"POL_87","57","female","northwest","43578.9394"
"POL_88","56","female","southwest","11073.176"
"POL_89","46","female","northwest","8026.6666"
"POL_90","55","female","northwest","11082.5772"
"POL_91","21","female","southeast","2026.9741"
"POL_92","53","female","northwest","10942.13205"
"POL_93","59","male","northeast","30184.9367"
"POL_94","35","male","northwest","5729.0053"
"POL_95","64","female","southwest","47291.055"
"POL_96","28","female","southeast","3766.8838"
"POL_97","54","female","southwest","12105.32"
"POL_98","55","male","southeast","10226.2842"
"POL_99","56","male","northeast","22412.6485"
"POL_100","38","male","southwest","15820.699"
"POL_101","41","female","southwest","6186.127"
"POL_102","30","male","northeast","3645.0894"
"POL_103","18","female","northeast","21344.8467"
"POL_104","61","female","southeast","30942.1918"
